state,latitude,longitude,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,ambience,parking,dietaryRestrictions,waiterService,smoking,caters,recommendedFor,goodForGroups,goodForKids,outdoorSeating
PA,2,2,3.5,True,none,quiet,casual,1.0,True,[],[],,True,,,[],False,,False
NV,1,1,3.0,True,full_bar,average,casual,2.0,False,[],[],,True,,,[],True,,True
QC,3,2,4.5,True,none,quiet,casual,3.0,False,[],['street'],,True,,False,[],True,,True
QC,3,2,5.0,True,full_bar,quiet,dressy,3.0,False,[],[],,False,,False,[],True,,True
QC,3,2,4.0,True,none,average,casual,1.0,True,[],['street'],,True,,,[],False,,True
QC,3,2,2.5,True,full_bar,,,2.0,True,[],['street'],,True,,False,[],True,,True
EDH,5,5,4.0,True,beer_and_wine,quiet,casual,2.0,False,[],[],,True,,,['dinner'],True,,False
EDH,5,5,5.0,True,full_bar,average,dressy,3.0,False,[],[],,True,,False,[],True,,False
EDH,5,5,4.0,True,beer_and_wine,quiet,casual,2.0,False,[],[],,True,,,[],True,,False
NC,1,2,3.0,True,none,average,casual,1.0,False,[],[],,True,,,[],True,,False
WI,3,2,3.5,False,full_bar,,casual,1.0,True,[],['lot'],,False,,,"['lunch', 'dinner']",True,,False
NC,1,2,3.5,True,none,average,casual,1.0,True,[],[],,False,,,[],False,,False
QC,3,2,2.5,True,none,quiet,,1.0,False,[],[],,False,,False,[],False,,False
AZ,1,1,2.5,False,none,average,casual,1.0,False,[],['lot'],,True,,,[],True,,False
BW,4,5,4.0,True,full_bar,,casual,2.0,,[],,['vegan'],True,outdoor,,[],True,,True
AZ,1,1,4.0,False,none,quiet,casual,2.0,False,[],[],,True,,,[],True,,False
AZ,1,1,5.0,True,none,average,casual,1.0,False,[],[],,False,,,[],True,,True
PA,2,2,4.5,True,none,quiet,casual,2.0,False,[],['street'],,True,,True,[],True,,True
PA,2,2,3.5,True,full_bar,average,dressy,2.0,False,[],[],,True,,,[],True,,False
NC,1,2,3.5,True,none,quiet,casual,1.0,False,[],[],,True,,,[],True,,False
AZ,1,1,3.5,False,full_bar,quiet,casual,1.0,True,[],['lot'],,True,,,"['lunch', 'dinner']",True,,False
PA,2,2,4.5,True,full_bar,,casual,2.0,False,[],[],,False,,True,['dinner'],True,,False
NC,1,2,2.5,True,none,,casual,2.0,False,[],[],,True,,,['lunch'],False,,False
AZ,1,1,2.5,True,none,average,casual,1.0,False,[],[],,True,,,[],True,,True
PA,2,2,3.0,False,none,,casual,2.0,True,[],['street'],,True,,,['dinner'],True,,False
QC,3,2,4.0,False,beer_and_wine,average,casual,2.0,,[],[],,True,,,[],True,,False
QC,3,2,3.0,True,none,quiet,casual,3.0,True,[],['street'],,True,,,[],False,,False
QC,3,2,3.5,True,none,quiet,casual,2.0,False,[],[],,True,,,[],True,,True
QC,3,2,3.5,True,full_bar,average,casual,2.0,True,[],[],,True,,,[],,,True
QC,3,2,3.5,True,full_bar,quiet,casual,2.0,True,[],['lot'],,True,,True,[],,,False
AZ,1,1,3.0,True,full_bar,average,casual,2.0,False,[],[],,True,,,[],True,,False
QC,3,2,4.0,True,none,average,casual,2.0,True,[],[],,True,,,[],True,,False
AZ,1,1,3.5,False,full_bar,average,casual,3.0,False,['trendy'],['valet'],,True,,,['dinner'],True,,True
QC,3,2,4.5,True,beer_and_wine,quiet,casual,3.0,,[],[],,,,False,[],True,,False
AZ,1,1,4.5,True,none,average,casual,1.0,True,[],[],,False,,True,[],True,,False
NC,1,2,4.5,True,none,average,casual,1.0,,[],[],,False,,True,[],False,,True
PA,2,2,4.0,True,none,average,casual,1.0,True,[],[],,True,,,[],True,,False
AZ,1,1,2.5,True,none,loud,casual,2.0,False,[],[],,True,,,[],True,,True
NC,1,2,3.5,False,full_bar,,casual,3.0,,[],['lot'],,True,,,['dinner'],True,,False
QC,3,2,3.5,True,none,average,casual,2.0,True,[],[],,True,,,['lunch'],True,,False
QC,3,2,2.5,True,none,average,casual,2.0,True,[],[],,True,,,[],True,,False
EDH,5,5,4.5,True,full_bar,,casual,2.0,False,[],[],,True,,,[],False,,False
BW,4,5,2.5,True,full_bar,average,dressy,3.0,,[],[],,,outdoor,,[],True,,True
QC,3,2,4.5,False,none,quiet,,1.0,,[],[],,True,no,,,True,,False
QC,3,2,4.0,True,none,average,casual,,False,[],[],,,,True,[],False,,False
QC,3,2,3.5,True,full_bar,average,casual,2.0,False,[],[],,False,,False,[],True,,False
QC,3,2,2.5,False,beer_and_wine,average,casual,2.0,,[],[],,,,True,[],True,,True
BW,4,5,3.0,True,beer_and_wine,,casual,3.0,True,,[],['vegan'],,outdoor,,[],True,,True
ON,3,2,4.5,True,full_bar,average,,3.0,,['romantic'],['lot'],,,no,,,True,,False
AZ,1,1,5.0,True,full_bar,average,casual,1.0,False,[],[],,True,outdoor,,,True,,True
QC,3,2,3.5,True,none,average,casual,2.0,True,[],[],,True,,,[],True,,False
QC,3,2,4.0,True,full_bar,average,casual,2.0,True,[],['lot'],,True,,True,,True,,False
AZ,1,1,3.5,True,none,average,casual,1.0,,[],[],,True,,,[],True,,False
QC,3,2,4.5,True,none,average,dressy,2.0,,[],[],,False,,,[],True,,False
NV,1,1,1.0,True,none,very_loud,casual,2.0,False,[],,,,,False,[],False,,False
NC,1,2,3.0,True,none,average,casual,1.0,False,[],[],,False,,,[],,,False
AZ,1,1,1.5,True,none,quiet,casual,1.0,False,[],[],,,,True,,False,,False
AZ,1,1,4.0,False,full_bar,,casual,2.0,False,,[],,True,outdoor,,[],True,,True
NC,1,2,3.5,False,full_bar,,casual,2.0,False,,['validate'],,True,outdoor,,['latenight'],True,,True
QC,3,2,4.5,True,none,average,casual,1.0,,[],[],,False,,,[],True,,False
EDH,5,5,3.5,True,none,average,casual,1.0,False,[],[],,,,False,,True,,False
WI,3,2,3.5,True,full_bar,quiet,,1.0,,[],['lot'],,True,no,,,True,,True
QC,3,2,5.0,True,none,quiet,dressy,4.0,False,[],[],,True,,,[],False,,False
QC,3,2,4.5,True,none,average,casual,1.0,False,[],[],,False,,,[],True,,False
WI,3,2,2.0,True,none,average,casual,1.0,False,[],,,False,,True,[],True,,False
QC,3,2,4.5,True,none,average,casual,3.0,False,[],[],,False,,False,,True,,False
NC,1,2,1.0,True,none,average,casual,1.0,False,[],[],,True,,True,,False,,True
QC,3,2,4.5,True,full_bar,quiet,casual,3.0,,[],[],,True,,,[],True,,False
EDH,5,5,3.5,True,full_bar,average,casual,2.0,,[],[],,True,,,[],True,,True
QC,3,2,3.0,True,full_bar,quiet,casual,2.0,True,[],[],,False,,False,,True,,False
PA,2,2,2.5,True,none,quiet,casual,1.0,False,[],,,True,,,[],False,,False
QC,3,2,4.0,True,full_bar,average,casual,2.0,,[],[],,True,,,[],,,False
EDH,5,5,3.5,True,none,average,casual,2.0,,[],[],,,,,[],True,,False
QC,3,2,2.0,True,full_bar,very_loud,casual,3.0,False,[],[],,True,,False,,True,,False
QC,3,2,4.5,True,beer_and_wine,quiet,dressy,3.0,False,[],[],,False,,False,,True,,True
AZ,1,1,3.0,True,full_bar,very_loud,casual,2.0,False,[],[],,True,,,,False,,True
QC,3,2,3.0,True,none,average,casual,2.0,,[],[],,True,,,[],,,False
AZ,1,1,3.0,True,full_bar,quiet,dressy,2.0,False,[],[],,False,,True,,True,,True
QC,3,2,3.5,True,none,average,casual,2.0,False,[],,,,,False,[],True,,True
NV,1,1,4.5,True,full_bar,average,,1.0,,[],['lot'],,False,yes,,,True,,False
NV,1,1,2.5,True,none,average,casual,1.0,False,[],,,False,,False,[],True,,False
QC,3,2,2.5,True,none,loud,casual,2.0,False,[],,,,,,[],True,,False
WI,3,2,3.5,False,none,,casual,1.0,,[],['street'],,True,,,[],,,True
NC,1,2,2.0,True,none,average,casual,2.0,False,[],[],,False,,,,True,,True
QC,3,2,2.5,True,none,average,casual,2.0,False,,[],,True,,False,[],True,,False
EDH,5,5,5.0,True,full_bar,loud,dressy,3.0,False,[],,,True,,,[],True,,False
EDH,5,5,4.5,True,none,quiet,casual,1.0,False,[],,,True,,,[],True,,False
QC,3,2,3.5,True,none,quiet,casual,2.0,True,[],[],,True,,,,True,,False
QC,3,2,5.0,True,beer_and_wine,quiet,casual,1.0,False,[],[],,False,,,,True,,False
NV,1,1,4.0,True,beer_and_wine,,casual,1.0,False,,[],,False,,,[],True,,False
NV,1,1,3.5,False,beer_and_wine,,casual,1.0,False,,['lot'],,,,,"['lunch', 'dinner']",True,True,False
WI,3,2,4.5,True,full_bar,average,,1.0,,[],[],,True,,,,True,,True
PA,2,2,2.5,True,none,quiet,casual,1.0,True,[],[],,True,,,,True,,False
QC,3,2,3.5,True,none,quiet,casual,3.0,False,[],,,False,,,[],False,,False
PA,2,2,2.0,True,none,,casual,1.0,True,,[],,,yes,,[],True,,True
BW,4,5,3.0,True,beer_and_wine,,casual,2.0,True,,['lot'],,,outdoor,,[],True,True,True
NV,1,1,4.0,True,full_bar,average,,2.0,,[],,,False,outdoor,,,True,,True
QC,3,2,2.5,True,none,average,casual,1.0,False,[],[],,False,,,,True,,False
AZ,1,1,3.0,False,none,average,casual,3.0,False,,['lot'],,False,,False,[],False,,False
AZ,1,1,3.0,True,none,,casual,1.0,True,,[],,True,,,[],False,True,False
NC,1,2,3.0,False,full_bar,quiet,casual,2.0,False,,['lot'],,True,,,"['lunch', 'dinner']",True,False,False
NV,1,1,1.5,False,none,,casual,2.0,,[],,,,,,[],True,,False
AZ,1,1,3.5,True,none,loud,,2.0,False,[],,,False,,True,[],True,,True
NV,1,1,4.5,True,none,quiet,casual,1.0,False,,[],,True,,,[],True,,False
QC,3,2,4.5,True,none,,casual,2.0,False,[],,,,,,[],True,,True
AZ,1,1,4.0,True,none,average,,1.0,,[],[],,True,,,,True,,False
PA,2,2,3.0,False,none,,casual,2.0,False,,[],,True,,,[],True,True,False
WI,3,2,3.0,False,full_bar,,casual,2.0,False,,['street'],,False,,,['latenight'],True,False,True
AZ,1,1,3.0,True,none,,casual,2.0,True,,[],,True,,False,[],True,,False
AZ,1,1,3.5,False,full_bar,,casual,2.0,False,,['lot'],,,,,"['lunch', 'dinner']",True,,True
QC,3,2,4.5,True,none,,casual,,,[],[],,True,,,['dinner'],,,True
QC,3,2,3.5,True,full_bar,,casual,1.0,True,,[],,,,,[],True,,False
EDH,5,5,3.5,True,full_bar,,,2.0,,[],,,True,outdoor,,,True,,True
EDH,5,5,3.5,True,full_bar,average,casual,3.0,,[],[],,True,,,,True,,False
QC,3,2,3.0,True,beer_and_wine,,casual,2.0,False,,[],,,,,[],True,,False
WI,3,2,3.0,True,full_bar,,,1.0,,[],[],,True,,,,True,,True
NV,1,1,3.5,False,full_bar,quiet,casual,2.0,,,['valet'],,True,,,"['breakfast', 'brunch']",True,,False
EDH,5,5,3.5,True,full_bar,,,2.0,,[],,,,,True,[],True,,True
EDH,5,5,3.5,True,beer_and_wine,,,,,[],[],,,,,[],False,,True
QC,3,2,3.0,True,none,average,casual,2.0,False,[],,,True,,,[],,,True
AZ,1,1,3.5,False,full_bar,,casual,2.0,False,,['lot'],,False,,,"['lunch', 'dinner']",True,,True
AZ,1,1,3.0,True,none,,casual,2.0,True,,[],,False,,,[],False,,False
AZ,1,1,3.5,False,full_bar,,casual,2.0,False,,['lot'],,False,,,"['lunch', 'dinner']",True,,True
AZ,1,1,3.5,False,full_bar,,casual,1.0,False,,[],,True,,,[],True,,True
NV,1,1,3.0,False,full_bar,,casual,3.0,False,,['lot'],,True,,,['dinner'],True,,False
NC,1,2,3.5,False,full_bar,,casual,3.0,False,,['street'],,False,,,"['lunch', 'dinner']",True,,True
AZ,1,1,2.5,False,none,,casual,1.0,False,,[],,True,,,[],True,,True
WI,3,2,3.5,False,full_bar,,casual,2.0,False,,['lot'],,True,,,"['lunch', 'dinner', 'breakfast']",True,,False
AZ,1,1,4.0,False,full_bar,,casual,2.0,False,,['lot'],,True,,,['dinner'],True,,True
NV,1,1,3.0,False,full_bar,,casual,2.0,False,,"['garage', 'valet']",,True,,,['dinner'],True,,False
AZ,1,1,3.0,False,full_bar,,casual,2.0,False,,['lot'],,True,,,[],True,,False
NC,1,2,3.0,False,full_bar,,casual,2.0,False,,['lot'],,True,,,['dinner'],True,,True
AZ,1,1,2.0,False,none,,casual,2.0,True,,['street'],,True,,,['dinner'],False,,True
AZ,1,1,4.0,False,full_bar,,casual,2.0,False,,['lot'],,True,,,"['lunch', 'dinner']",True,,True
AZ,1,1,3.5,False,full_bar,,casual,2.0,False,,['street'],,True,,,"['latenight', 'dinner']",True,,True
IL,2,2,3.0,False,full_bar,,casual,2.0,False,,['street'],,False,,,['dinner'],True,,False
AZ,1,1,4.0,False,none,,casual,1.0,False,,['lot'],,False,,,"['lunch', 'dinner']",True,,False
AZ,1,1,1.5,False,none,,casual,1.0,False,[],[],,False,,False,,,,False
AZ,1,1,3.5,False,none,,casual,2.0,True,,['lot'],,True,,,[],True,,False
BW,4,5,4.0,True,full_bar,average,casual,2.0,True,,[],,True,no,True,,True,,True
EDH,5,5,4.0,True,none,average,casual,2.0,False,,[],,True,,,[],True,,False
QC,3,2,2.5,True,none,quiet,casual,3.0,False,,[],,True,,,[],True,,True
AZ,1,1,3.5,False,full_bar,,,,False,,['lot'],,False,,,[],True,,True
PA,2,2,2.5,True,none,,casual,1.0,True,,[],,False,,False,[],False,,False
WI,3,2,4.0,False,none,quiet,casual,1.0,True,,[],,True,,,[],True,,False
PA,2,2,3.5,False,full_bar,,casual,3.0,False,,[],,False,,,[],True,,True
NV,1,1,4.0,False,none,,casual,2.0,,,['lot'],,False,,,"['lunch', 'dinner']",True,True,False
AZ,1,1,3.5,False,none,,,1.0,True,[],[],,False,,,,,,False
AZ,1,1,3.5,False,none,,casual,1.0,,,['lot'],,False,,,"['lunch', 'dinner']",True,,False
AZ,1,1,4.5,False,none,,casual,2.0,True,,[],,False,,,[],True,,True
QC,3,2,4.5,True,beer_and_wine,,casual,2.0,False,,[],,,,,[],False,,False
EDH,5,5,3.5,True,full_bar,average,,1.0,,,[],,,no,,,True,,False
WI,3,2,3.5,True,none,,,,,[],[],,True,,,,,,False
NV,1,1,4.5,False,none,,casual,3.0,False,,[],,True,,,[],True,,False
WI,3,2,4.0,False,full_bar,,casual,2.0,,,['street'],,False,,,"['lunch', 'dinner']",True,,True
NV,1,1,4.5,False,none,,casual,1.0,,,['lot'],,,,,"['lunch', 'dinner']",True,,False
QC,3,2,4.5,True,none,very_loud,,1.0,,[],,,,outdoor,,,True,,False
PA,2,2,4.5,True,none,,casual,2.0,False,[],,,,,,[],True,,False
WI,3,2,4.0,True,none,,casual,1.0,True,,[],,True,,True,[],False,,True
QC,3,2,4.0,True,none,average,casual,2.0,,[],[],,False,,,,,,False
AZ,1,1,3.0,True,none,,casual,1.0,False,,[],,,,,[],True,,False
NC,1,2,3.0,True,none,quiet,,1.0,,,[],,,,False,[],True,True,False
AZ,1,1,2.5,True,none,,casual,2.0,True,,[],,True,,,[],False,,False
AZ,1,1,3.0,True,none,,casual,2.0,False,,[],,True,,,[],True,True,False
NV,1,1,3.0,False,none,,casual,1.0,False,,[],,True,,,[],True,,False
QC,3,2,5.0,True,none,quiet,dressy,4.0,,[],[],,True,,,,True,,False
QC,3,2,2.5,True,beer_and_wine,,casual,2.0,,,[],,True,,,[],True,,True
QC,3,2,4.5,False,full_bar,,casual,2.0,,,[],,True,,True,[],True,,True
ON,3,2,4.5,True,none,,casual,3.0,False,[],,,True,,,[],,,True
AZ,1,1,3.5,False,none,,casual,1.0,,,[],,,,,[],True,,False
QC,3,2,4.5,True,none,average,casual,1.0,False,,[],,False,,False,[],,,False
WI,3,2,3.0,True,none,quiet,casual,2.0,False,[],,,True,,False,,False,,False
AZ,1,1,3.0,False,full_bar,,casual,2.0,True,,['lot'],,True,,,[],True,,False
AZ,1,1,1.5,True,none,quiet,casual,2.0,True,,,,False,,False,[],True,,False
NV,1,1,1.0,True,none,very_loud,,3.0,True,,[],,True,,,[],False,,False
NC,1,2,3.0,False,full_bar,,dressy,2.0,,,[],,False,,,[],True,,True
NC,1,2,3.0,False,none,,casual,2.0,,,[],,True,,,[],False,,False
QC,3,2,3.0,True,none,,dressy,,False,,[],,True,,,[],True,,False
QC,3,2,4.0,True,none,average,casual,1.0,,,[],,,,,[],True,,False
AZ,1,1,4.5,False,none,,casual,1.0,True,,[],,,,,[],True,,False
AZ,1,1,3.0,False,none,quiet,,2.0,False,,[],,False,,True,[],,,False
EDH,5,5,3.5,True,none,,casual,,False,[],,,True,,,[],,,False
QC,3,2,3.5,True,none,,casual,2.0,True,,[],,True,,,[],,,False
NC,1,2,4.0,False,full_bar,,casual,3.0,,,[],,,,,[],True,,True
EDH,5,5,4.0,False,beer_and_wine,,,3.0,,,['street'],['vegan'],False,,,,,,False
NV,1,1,3.5,True,none,average,casual,2.0,,[],,,False,,,,True,,False
WI,3,2,2.5,False,none,,casual,1.0,,,[],,True,,,[],,,False
EDH,5,5,4.0,True,beer_and_wine,,casual,2.0,,,[],,,,,[],True,,False
QC,3,2,3.0,True,none,average,casual,,,[],[],,True,,,,,,False
AZ,1,1,2.5,False,full_bar,,,2.0,True,,['lot'],,,outdoor,,,,,True
AZ,1,1,3.0,False,full_bar,,,3.0,,,['street'],,,,,,True,,False
NV,1,1,3.5,False,full_bar,,,2.0,,,['lot'],,,yes,,,True,,False
BW,4,5,3.0,True,beer_and_wine,,casual,2.0,False,,[],,False,outdoor,,,True,,True
AZ,1,1,2.5,True,none,,,1.0,,[],,,True,,,,True,,False
AZ,1,1,2.5,True,full_bar,very_loud,casual,2.0,False,,[],,,,,,False,,False
NC,1,2,2.5,False,none,,,,,[],[],,False,,,,True,,False
NC,1,2,3.5,True,none,quiet,casual,2.0,True,,,,,,,[],True,,False
AZ,1,1,4.0,False,full_bar,,,2.0,,,['street'],,,outdoor,,,True,,True
AZ,1,1,1.0,True,none,average,casual,1.0,,,[],,,,,[],,,False
BW,4,5,4.0,True,beer_and_wine,,,3.0,True,,[],,True,outdoor,,,,False,False
NC,1,2,4.0,False,full_bar,average,,,,,[],,,,,[],,,False
QC,3,2,3.5,True,none,,casual,1.0,,[],,,,,False,,True,,False
QC,3,2,3.0,True,full_bar,loud,,2.0,,[],,,,no,,,False,,False
BW,4,5,3.5,True,none,,casual,2.0,False,,[],,,no,,,True,,True
NC,1,2,3.5,True,none,,casual,2.0,False,,,,,,,[],True,,False
AZ,1,1,4.0,True,none,,casual,2.0,True,,[],,,,False,,True,,False
AZ,1,1,3.0,True,none,,formal,1.0,False,,,,True,,False,[],,,False
QC,3,2,3.0,True,none,,casual,3.0,,,,,True,,,[],True,,True
QC,3,2,5.0,False,none,,casual,1.0,True,,,,False,,,[],True,,False
AZ,1,1,4.5,False,none,,,,,,[],,False,,,[],True,,False
NV,1,1,3.5,True,none,average,,2.0,False,[],,,,,,,True,,True
BW,4,5,3.5,True,none,,casual,4.0,False,,,,,no,,[],True,,True
QC,3,2,4.0,True,none,average,casual,2.0,True,,[],,,,,,True,,True
AZ,1,1,5.0,True,none,,casual,1.0,True,,,,,,,[],True,,False
AZ,1,1,3.5,False,none,,casual,1.0,,,['lot'],,False,,,,True,,True
PA,2,2,3.5,False,none,,casual,2.0,,,,,True,,,[],False,,False
QC,3,2,3.0,True,none,,casual,1.0,False,,,,,,,[],True,,False
AZ,1,1,2.5,True,none,,,2.0,True,,,,,,False,[],True,,False
AZ,1,1,3.0,True,none,average,casual,2.0,,,[],,,,,,True,,False
QC,3,2,2.5,True,none,average,casual,1.0,,[],,,,,,,True,,False
AZ,1,1,5.0,True,none,,casual,2.0,,[],,,,,,,True,,False
NV,1,1,3.5,True,none,,,2.0,,,['lot'],,,,,,True,,False
QC,3,2,3.0,True,none,,,2.0,True,,,,,,,[],True,,False
EDH,5,5,4.0,True,none,,casual,1.0,False,,[],,,,,,True,,False
QC,3,2,4.0,True,none,quiet,casual,,,[],,,,,,,False,,False
EDH,5,5,4.5,True,none,,,2.0,False,,[],,True,,,,,,False
QC,3,2,4.0,True,full_bar,quiet,casual,2.0,False,,,,True,,,,True,,True
QC,3,2,5.0,True,none,,casual,,False,,[],,True,,,,,,False
NC,1,2,3.5,False,none,,casual,2.0,,,[],,False,,,,,,False
AZ,1,1,3.0,False,beer_and_wine,,casual,2.0,,,[],,False,,,,False,,False
IL,2,2,4.0,True,none,,,,False,,,,,,,[],True,,False
WI,3,2,2.0,False,full_bar,,,1.0,,,[],,True,,,,True,,False
QC,3,2,4.5,True,full_bar,average,casual,2.0,False,,,,False,,,,True,,False
QC,3,2,2.0,True,beer_and_wine,,,2.0,True,,,,True,,,,True,,False
EDH,5,5,3.5,True,full_bar,,casual,3.0,False,,,,,,,,,,False
EDH,5,5,4.5,True,none,,,2.0,,,['street'],,,,,,,,False
EDH,5,5,4.0,False,none,,casual,1.0,,[],,,,,,,,,False
PA,2,2,3.5,True,none,average,casual,2.0,True,,,,,,,,True,,False
